Building,Room,Type,Capacity,Equipment_Tier,Special_Features,Similar_Venues,Front_Image,Rear_Image
25,G05,Flat Room - Tables and Chairs,46,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities,,https://ltc.uow.edu.au/theatres/images/25-G05-F.JPG,https://ltc.uow.edu.au/theatres/images/25-G05-R.JPG
28,101,Lecture Theatre,92,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/28-101-F.JPG,https://ltc.uow.edu.au/theatres/images/28-101-R.JPG
29,G08,Collaborative Teaching Venue,42,Standard AV Equipment - Computer and Projector/Screen,Document Camera,,https://ltc.uow.edu.au/theatres/images/29-G08-F.JPG,https://ltc.uow.edu.au/theatres/images/29-G08-R.JPG
29,G09,Collaborative Teaching Venue,42,Standard AV Equipment - Computer and Projector/Screen,Document Camera,,https://ltc.uow.edu.au/theatres/images/29-G09-F.JPG,https://ltc.uow.edu.au/theatres/images/29-G09-R.JPG
29,G10,Collaborative Teaching Venue,84,Standard AV Equipment - Computer and Projector/Screen,Document Camera,,https://ltc.uow.edu.au/theatres/images/29-G10-F.JPG,https://ltc.uow.edu.au/theatres/images/29-G10-R.JPG
32,G01,Lecture Theatre,72,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,"6-210, 21-G08",https://ltc.uow.edu.au/theatres/images/32-G01-F.JPG,https://ltc.uow.edu.au/theatres/images/32-G01-R.JPG
35,G20,Lecture Theatre,110,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Document Camera - Dual Screens,35-G45,https://ltc.uow.edu.au/theatres/images/35-G20-F.JPG,https://ltc.uow.edu.au/theatres/images/35-G20-R.JPG
35,G45,Lecture Theatre,151,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Document Camera - Dual Screens,35-G20,https://ltc.uow.edu.au/theatres/images/35-G45-F.JPG,https://ltc.uow.edu.au/theatres/images/35-G45-R.JPG
38,G01,Lecture Theatre,112,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/38-G01-F.JPG,https://ltc.uow.edu.au/theatres/images/38-G01-R.JPG
40,122,Flat Room - Tables and Chairs,28,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),,,https://ltc.uow.edu.au/theatres/images/40-122-F.JPG,https://ltc.uow.edu.au/theatres/images/40-122-R.JPG
40,123,Flat Room - Tables and Chairs,34,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Whiteboard Venue - Document Camera,,https://ltc.uow.edu.au/theatres/images/40-123-F.JPG,https://ltc.uow.edu.au/theatres/images/40-123-R.JPG
40,124,Flat Room - Tables and Chairs,26,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/40-124-F.JPG,https://ltc.uow.edu.au/theatres/images/40-124-R.JPG
40,125,Meeting Room,12,No AV Equipment or Computer,Meeting Room,,https://ltc.uow.edu.au/theatres/images/40-125-F.JPG,https://ltc.uow.edu.au/theatres/images/40-125-R.JPG
40,126,Flat Room - Tables and Chairs,20,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/40-126-F.JPG,https://ltc.uow.edu.au/theatres/images/40-126-R.JPG
40,131,Lecture Theatre,70,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/40-131-F.JPG,https://ltc.uow.edu.au/theatres/images/40-131-R.JPG
40,153,Lecture Theatre,542,Standard AV Equipment with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/40-153-F.JPG,https://ltc.uow.edu.au/theatres/images/40-153-R.JPG
41,104,Flat Room - Tables and Chairs,50,Standard AV Equipment with Echo360 (Recording Facilities),,,https://ltc.uow.edu.au/theatres/images/41-104-F.JPG,https://ltc.uow.edu.au/theatres/images/41-104-R.JPG
41,107,Flat Room - Tables and Chairs,24,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/41-107-F.JPG,https://ltc.uow.edu.au/theatres/images/41-107-R.JPG
41,153,Collaborative Teaching Venue,40,Standard AV Equipment - Computer and Projector/Screen,Document Camera,,https://ltc.uow.edu.au/theatres/images/41-153-F.jpeg,https://ltc.uow.edu.au/theatres/images/41-153-R.jpeg
41,202,Flat Room - Tables and Chairs,20,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/41-202-F.JPG,https://ltc.uow.edu.au/theatres/images/41202b.JPG
41,203,Flat Room - Tables and Chairs,24,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/41-203-F.JPG,https://ltc.uow.edu.au/theatres/images/41-203-R.JPG
41,204,Flat Room - Tables and Chairs,20,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities,,https://ltc.uow.edu.au/theatres/images/41-204-F.JPG,https://ltc.uow.edu.au/theatres/images/41-204-R.JPG
67,101,Collaborative Teaching Venue,60,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/67-101-F.JPG,https://ltc.uow.edu.au/theatres/images/67-101-R.JPG
67,102,Flat Room - Tables and Chairs,66,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/67-102-F.JPG,https://ltc.uow.edu.au/theatres/images/67-102-R.JPG
67,104,Lecture Theatre,179,Standard AV Equipment with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/67-104-F.JPG,https://ltc.uow.edu.au/theatres/images/67-104-R.JPG
67,107,Lecture Theatre,383,Standard AV Equipment with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/67-107-F.JPG,https://ltc.uow.edu.au/theatres/images/67-107-R.JPG
67,201,Flat Room - Tables and Chairs,30,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities,,https://ltc.uow.edu.au/theatres/images/67-201-F.JPG,https://ltc.uow.edu.au/theatres/images/67-201-R.JPG
67,202,Flat Room - Tables and Chairs,50,Standard AV Equipment with Echo360 (Recording Facilities),Video Conference Facilities - Moot Court,,https://ltc.uow.edu.au/theatres/images/67-202-F.JPG,https://ltc.uow.edu.au/theatres/images/67-202-R.JPG
67,203,Flat Room - Tables and Chairs,40,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/67-203-F.JPG,https://ltc.uow.edu.au/theatres/images/67-203-R.JPG
67,208,Flat Room - Tables and Chairs,28,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/67-208-F.JPG,https://ltc.uow.edu.au/theatres/images/67-208-R.JPG
67,209,Flat Room - Tables and Chairs,18,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/67-209-F.JPG,https://ltc.uow.edu.au/theatres/images/67-209-R.JPG
