2026-07-13 20:18:52 MainThread INFO Discovered 13 campuses: Bega Valley Campus, Class conducted at a non UOW campus, Innovation Campus, On Campus Subject Delivered Online, Pre Recorded Activity, Shoalhaven Campus, Southern Highlands Campus, Sydney CBD Campus, UOW College Wollongong, UOW Eurobodalla Campus, UOW Liverpool, UOW Sutherland, Wollongong Campus
2026-07-13 20:18:52 MainThread INFO Bega Valley Campus: 9 rooms found.
2026-07-13 20:18:53 MainThread INFO Class conducted at a non UOW campus: 12 rooms found.
2026-07-13 20:18:53 MainThread INFO Innovation Campus: 6 rooms found.
2026-07-13 20:18:54 MainThread INFO On Campus Subject Delivered Online: 114 rooms found.
2026-07-13 20:18:54 MainThread INFO Pre Recorded Activity: 38 rooms found.
2026-07-13 20:18:54 MainThread INFO Shoalhaven Campus: 22 rooms found.
2026-07-13 20:18:55 MainThread INFO Southern Highlands Campus: 4 rooms found.
2026-07-13 20:18:55 MainThread INFO Sydney CBD Campus: 14 rooms found.
2026-07-13 20:18:56 MainThread INFO UOW College Wollongong: 24 rooms found.
2026-07-13 20:18:56 MainThread INFO UOW Eurobodalla Campus: 8 rooms found.
2026-07-13 20:18:56 MainThread INFO UOW Liverpool: 31 rooms found.
2026-07-13 20:18:57 MainThread INFO UOW Sutherland: 8 rooms found.
2026-07-13 20:18:57 MainThread INFO Wollongong Campus: 270 rooms found.
2026-07-13 20:19:05 worker-23 INFO [On Campus Subject Delivered Online/Online] 2 entries, 24 rows written
2026-07-13 20:19:05 worker-10 INFO [On Campus Subject Delivered Online/Lecture Online] 37 entries, 351 rows written
2026-07-13 20:19:05 worker-7 WARNING [On Campus Subject Delivered Online/Online] all-weeks request errored (attempt 1/5) - requeuing, refreshing session state
2026-07-13 20:19:05 worker-3 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:05 worker-25 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:05 worker-22 WARNING [On Campus Subject Delivered Online/Online] all-weeks request errored (attempt 1/5) - requeuing, refreshing session state
2026-07-13 20:19:05 worker-11 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:05 worker-27 INFO [On Campus Subject Delivered Online/Lecture Online] 33 entries, 266 rows written
2026-07-13 20:19:05 worker-17 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:05 worker-18 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:05 worker-4 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:05 worker-1 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:05 worker-29 WARNING [On Campus Subject Delivered Online/Online] all-weeks request errored (attempt 1/5) - requeuing, refreshing session state
2026-07-13 20:19:05 worker-16 WARNING [On Campus Subject Delivered Online/Online] all-weeks request errored (attempt 1/5) - requeuing, refreshing session state
2026-07-13 20:19:05 worker-31 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:05 worker-19 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:05 worker-20 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:05 worker-5 INFO [On Campus Subject Delivered Online/Online] 4 entries, 49 rows written
2026-07-13 20:19:05 worker-28 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:05 worker-26 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:05 worker-12 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:05 worker-2 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:05 worker-13 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:05 worker-14 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:05 worker-23 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:05 worker-30 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:05 worker-24 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:05 worker-21 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:05 worker-6 INFO [On Campus Subject Delivered Online/Lecture Online] 8 entries, 91 rows written
2026-07-13 20:19:05 worker-3 WARNING [On Campus Subject Delivered Online/Online Optional Room Available] all-weeks request errored (attempt 1/5) - requeuing, refreshing session state
2026-07-13 20:19:05 worker-10 INFO [On Campus Subject Delivered Online/Online] 0 entries, 0 rows written
2026-07-13 20:19:06 worker-17 WARNING [On Campus Subject Delivered Online/Online Optional Room Available] all-weeks request errored (attempt 1/5) - requeuing, refreshing session state
2026-07-13 20:19:06 worker-9 INFO [On Campus Subject Delivered Online/Lecture Online] 44 entries, 417 rows written
2026-07-13 20:19:06 worker-15 INFO [On Campus Subject Delivered Online/Online Optional Room Available] 16 entries, 184 rows written
